codigo,descripcion
A1,Pregunta A1.21 Entrevistador: Registra si el informante es:
A2A1,"Pregunta A2A1.21 En la última entrevista usted dijo que su fecha de nacimiento era (FECHA), ¿es esto correcto?"
A2A2,Pregunta A2A2.1.21 Día (PRECARGA)
A2A2,Pregunta A2A2.2.21 Mes (PRECARGA)
A2A2,Pregunta A2A2.3.21 Año (PRECARGA)
A2B,Pregunta A2B.21 ¿Cuál es su edad en años cumplidos?
A3,Pregunta A3.21 ¿Actualmente usted?
A4,Pregunta A4.21 ¿Usted continúa casado(a) (en unión) con la misma persona que (en AÑO/la última vez que hablamos con usted)?
A5,Pregunta A5.21 ¿Su último matrimonio (unión) terminó después de la última vez que hablamos con usted?
A6,Pregunta A6.21 ¿Ese matrimonio (unión) comenzó después de la última vez que hablamos con usted?
A7,"Pregunta A7.21 En la última entrevista usted dijo que tenía (NÚMERO) hijos(as) que nacieron vivos, ¿es esto correcto?"
A7A,Pregunta A7A.21 ¿Cuántos hijos e hijas que nacieron vivos ha tenido usted?
A8,"Pregunta A8.21 De los hijos e hijas que nacieron vivos, ¿cuántos viven todavía?"
A13A,Pregunta A13A.21 ¿Cuántos años ha vivido en esta localidad?
A13B,"Pregunta A13B.21 Desde la última vez que hablamos con usted, ¿se cambió de domicilio?"
A14,"Pregunta A14.21 Desde la última vez que hablamos con usted, sin contar vacaciones o visitas cortas, ¿ha trabajado o vivido usted en Estados Unidos?"
A15,Pregunta A15.21 ¿Fue esta la primera vez que fue a Estados Unidos a trabajar o a vivir?
A16A,Pregunta A16A.21 ¿En qué año se fue en esta primera ocasión a Estados Unidos?
A16B,Pregunta A16B.21 ¿Cuál diría usted que fue la razón principal por la que fue a Estados Unidos?
A17,"Pregunta A17.21 Para esa primera estadía en Estados Unidos, cuando usted salió de la república mexicana, ¿conocía a alguien que le ayudaría a establecerse en el lugar a donde fue?"
A19,"Pregunta A19.1.21 Aproximadamente, ¿en qué año o a qué edad regresó de Estados Unidos en esa ocasión? - AÑO"
A19,"Pregunta A19.2.21 Aproximadamente, ¿en qué año o a qué edad regresó de Estados Unidos en esa ocasión? - EDAD"
A20,"Pregunta A20.21 En total cuando vivió en Estados Unidos, ¿usted vivió principalmente en áreas urbanas (ciudades) o en rurales (pueblo, granja, rancho)?"
A21,"Pregunta A21.21 En total, ¿como por cuántos años ha trabajado o vivido usted en Estados Unidos?"
A22,"Pregunta A22.21 Piense por favor en la estadía más larga en Estados Unidos, la mayor parte del tiempo, ¿qué tipo de trabajo realizó usted?"
A22A,"Pregunta A22A.21 Piense por favor en la estadía más larga en Estados Unidos, la mayor parte del tiempo, ¿qué tipo de trabajo realizó usted? - ESPECIFICA"
A23,"Pregunta A23.21 Para esa estadía en Estados Unidos, ¿generalmente usted enviaba dinero a su familia en México?"
A27,Pregunta A27.1.21 ¿Su intención era que ese dinero se usara como ahorro para cuando regresara a México?
A27,Pregunta A27.2.21 ¿Su intención era que ese dinero se usara para mantener a su familia?
A27,Pregunta A27.3.21 ¿Su intención era que ese dinero se usara para mejorar su propiedad en México?
A27,Pregunta A27.4.21 ¿Su intención era que ese dinero se usara para comprar muebles u otras cosas caras en la casa?
A27,Pregunta A27.5.21 ¿Su intención era que ese dinero se usara...? - OTRA
A27,Pregunta A27.6.21 ¿Su intención era que ese dinero se usara para ayudar a sus familiares por la situación de la pandemia de COVID-19?
A27,Pregunta A27.8.21 ¿Su intención era que ese dinero se usara...? - NO RESPONDE
A27,Pregunta A27.9.21 ¿Su intención era que ese dinero se usara...? - NO SABE
A28,Pregunta A28.21 Ahora piense acerca de la última vez que fue a trabajar o a vivir en Estados Unidos ¿cuál diría usted que fue la razón principal por la que fue?
A29A1,"Pregunta A29A1.21 En esa última vez, después de que vivió o trabajó allá, ¿en qué año o qué edad tenía usted cuando regresó? - AÑO"
A29A2,"Pregunta A29A2.21 En esa última vez, después de que vivió o trabajó allá, ¿en qué año o qué edad tenía usted cuando regresó? - EDAD"
A29B01,"Pregunta A29B01.21 En esa última vez que regresó de Estados Unidos, ¿se regresó porque usted estaba enfermo?"
A29B02,"Pregunta A29B02.21 En esa última vez que regresó de Estados Unidos, ¿se regresó porque usted extrañaba a su familia?"
A29B03,"Pregunta A29B03.21 En esa última vez que regresó de Estados Unidos, ¿se regresó porque le fue difícil permanecer en Estados Unidos?"
A29B04,"Pregunta A29B04.21 En esa última vez que regresó de Estados Unidos, ¿se regresó porque era muy caro quedarse en Estados Unidos?"
A29B05,"Pregunta A29B05.21 En esa última vez que regresó de Estados Unidos, ¿se regresó porque no ganaba suficiente allá?"
A29B06,"Pregunta A29B06.21 En esa última vez que regresó de Estados Unidos, ¿se regresó porque tuvo problemas relacionados con migración?"
A29B07,"Pregunta A29B07.21 En esa última vez que regresó de Estados Unidos, ¿se regresó porque tuvo problemas familiares en México?"
A29B08,"Pregunta A29B08.21 En esa última vez que regresó de Estados Unidos, ¿se regresó porque...? - OTRA"
A29B09,"Pregunta A29B09.21 En esa última vez que regresó de Estados Unidos, ¿se regresó porque su situación económica o laboral se vio afectada debido a la pandemia de COVID-19?"
A29B88,"Pregunta A29B88.21 En esa última vez que regresó de Estados Unidos, ¿se regresó porque...? - NO RESPONDE"
A29B99,"Pregunta A29B99.21 En esa última vez que regresó de Estados Unidos, ¿se regresó porque...? - NO SABE"
A30,Pregunta A30.21 Registra si marcó más de una razón en A.29b
A31,Pregunta A31.21 ¿Cuál diría usted que fue la razón principal por la que regresó?
A32,"Pregunta A32.21 La última vez que regresó de Estados Unidos a México, ¿diría usted que su salud era...?"
A33B,"Pregunta A33B.21 Durante el tiempo que estuvo en Estados Unidos, ¿alguna vez se contribuyó al sistema de seguridad social (social security) en algún trabajo, con su nombre o el de otra persona?"
A33C,"Pregunta A33C.21 Actualmente, ¿cuenta usted con permiso de residencia permanente o es ciudadano de Estados Unidos?"
A35A,Pregunta A35A.21 ¿Asiste usted a servicios religiosos?
A35B,Pregunta A35B.21 ¿Con qué frecuencia participa usted en las actividades organizadas por la iglesia?
A36,"Pregunta A36.21 ¿Qué tan importante es la religión en su vida?, ¿diría que es...?"
A37,"Pregunta A37.21 En los últimos 2 años, ¿ha hecho algún trabajo voluntario para organizaciones religiosas, educativas, de caridad o para la comunidad?"
A38,"Pregunta A38.1.21 En los últimos 2 años, ¿como cuántas horas le dedicó usted a ese trabajo voluntario? - HORAS"
A38,"Pregunta A38.2.21 En los últimos 2 años, ¿como cuántas horas le dedicó usted a ese trabajo voluntario? - PERIODO"
A39,Pregunta A39.21 ¿Diría usted que fueron...?
A40,"Pregunta A40.21 A continuación, le voy a mostrar unas figuras de cuerpo"
A40A,Pregunta A40A.21 ¿Qué figura considera que se parece a usted en este momento?
A40B,"Pregunta A40B.21 Ahora piense por favor cuando usted tenía 50 años, ¿qué figura considera que se parece más a usted a esa edad?"
A40C,"Pregunta A40C.21 Ahora piense por favor cuando usted tenía 20 años, ¿qué figura considera que se parece más a usted a esa edad?"
A41,Pregunta A41.21 ¿Falleció alguno de sus hijos(as)?
A41A,Pregunta A41A.21 ¿Ocurrió esto a causa del COVID-19?
A41,Pregunta A41.1.21 ¿En qué año(s)? - 2018
A41,Pregunta A41.2.21 ¿En qué año(s)? - 2019
A41,Pregunta A41.3.21 ¿En qué año(s)? - 2020
A41,Pregunta A41.4.21 ¿En qué año(s)? - 2021
A42,Pregunta A42.21 ¿Se hizo cargo de cuidar a algún familiar enfermo?
A42A,Pregunta A42A.21 ¿Ocurrió esto a causa del COVID-19?
